ELEVATINGDEVICESNUMBER,INSPECTIONTYPE_ED-Enforcement Action,INSPECTIONTYPE_ED-FU Enforcement Action Insp,INSPECTIONTYPE_ED-Followup Inspection,INSPECTIONTYPE_ED-Followup Lic Insp,INSPECTIONTYPE_ED-Followup Minor Alt,INSPECTIONTYPE_ED-Followup No-Lic Insp,INSPECTIONTYPE_ED-Followup Ownership Change,INSPECTIONTYPE_ED-Followup Reg Non-Compliance,INSPECTIONTYPE_ED-Initial Inspection,INSPECTIONTYPE_ED-Inspection Temp Lic,INSPECTIONTYPE_ED-MCP Enforcement Insp,INSPECTIONTYPE_ED-MCP Follow up,INSPECTIONTYPE_ED-Major Alteration Inspection,INSPECTIONTYPE_ED-Minor A Inspection,INSPECTIONTYPE_ED-Minor B Inspection,INSPECTIONTYPE_ED-Non-Mandated Followup ON,INSPECTIONTYPE_ED-Non-Mandated Insp ON,INSPECTIONTYPE_ED-PWGSC Insp,INSPECTIONTYPE_ED-Perform L1 Incident Insp,INSPECTIONTYPE_ED-Periodic Inspection,INSPECTIONTYPE_ED-Re-Activate Inspection,INSPECTIONTYPE_ED-Reg Non-Compliance,INSPECTIONTYPE_ED-Sub  Inspection,INSPECTIONTYPE_ED-Sub Failed Initial,INSPECTIONTYPE_ED-Sub Inspection,INSPECTIONTYPE_ED-Sub Inspection Major,INSPECTIONTYPE_ED-Unscheduled Inspection,INSPECTIONOUTCOME_All Orders Resolved,INSPECTIONOUTCOME_Complete,INSPECTIONOUTCOME_DC Follow up,INSPECTIONOUTCOME_Fail Initial,INSPECTIONOUTCOME_Follow Up Initial,INSPECTIONOUTCOME_Follow up,INSPECTIONOUTCOME_Follow up Major,INSPECTIONOUTCOME_Follow up Sub Major,INSPECTIONOUTCOME_Other,INSPECTIONOUTCOME_Passed,INSPECTIONOUTCOME_Passed Major,INSPECTIONOUTCOME_Shutdown,INSPECTIONOUTCOME_Unable to Inspect,CURRENT
8,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
9,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0
10,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,4,1,0,0,1,0,0,0,0
11,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,1,1,0,1,0,1
13,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,1
14,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0
15,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
38,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1
119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
136,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
